COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
700,190,KING CARTON CIGS (PL,1 CT,1,86040
700,191,100'S CARTON CIGS (P,1 CT,1,86060
705,193,25 CT SINGLE PACK CI,1 CT,8,80080
705,194,GENERIC SINGLE,1 CT,10,80020
700,195,KING CARTON PRICE VA,1 CT,1,86050
700,196,100'S CARTON PRICE V,1 CT,1,86070
705,197,CIGARETTES SINGLE PA,1 CT,10,80120
705,1100000111,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000112,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000115,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000126,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000127,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000133,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000134,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000135,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000136,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000166,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000286,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000296,CIGARETTES (SINGLE P,1 CT,1,86110
700,1100000326,100'S CARTON,10 PK,1,86210
705,1100000336,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000368,CIGARETTES (SINGLE P,PACK,1,86110
705,1100000416,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000426,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000436,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000466,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000536,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000566,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000606,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000626,CIGARETTES (SINGLE P,1 CT,1,86110
705,1100000676,CIGARETTES (SINGLE P,1 CT,1,86110
700,1100011108,KING CARTON,10 CT,1,86000
700,1100011208,KING CARTON,10 CT,1,86000
700,1100011308,KING & REG CIGARETTE,10 CT,1,86020
700,1100011508,100'S CARTON CIGARET,10 CT,1,86210
700,1100011608,100'S CARTON,10 PK,1,86210
700,1100012608,100'S CARTON CIGARET,10 CT,1,86210
700,1100012708,100'S CARTON CIGARET,10 CT,1,86210
700,1100012808,100'S CARTON CIGARET,10 CT,1,86210
700,1100012908,100'S CARTON CIGARET,10 CT,1,86210
700,1100013208,100'S CARTON CIGARET,10 CT,1,86210
700,1100013308,100'S CARTON CIGARET,10 CT,1,86210
700,1100013408,100'S CARTON CIGARET,10 CT,1,86210
700,1100013508,100'S CARTON CIGARET,10 CT,1,86210
700,1100014108,KING CARTON,10 CT,1,86000
700,1100014208,100'S CARTON CIGARET,10 CT,1,86210
700,1100014308,KING CARTON,10 PK,1,86000
700,1100014608,100'S CARTON CIGARET,10 CT,1,86210
700,1100015308,KING CARTON,10 PK,1,86000
700,1100015608,KING CARTON,10 PK,1,86000
700,1100016008,100'S CARTON CIGARET,10 CT,1,86210
700,1100016208,100'S CARTON CIGARET,10 CT,1,86210
700,1100072408,GENERIC CARTON CIGAR,10 PK,1,86010
705,1230000001,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000002,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000003,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000004,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000005,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000007,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000008,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000010,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000011,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000012,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000013,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000014,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000017,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000018,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000019,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000020,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000022,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000024,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000025,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000026,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000027,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000028,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000029,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000030,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000031,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000032,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000033,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000034,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000035,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000036,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000037,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000039,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000041,GENERIC SINGLE,1 CT,10,80100
705,1230000042,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000043,GENERIC SINGLE,1 CT,10,80100
705,1230000044,GENERIC SINGLE,1 CT,10,80100
705,1230000045,GENERIC SINGLE,1 CT,10,80100
705,1230000046,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000047,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000048,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000049,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000050,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000051,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000052,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000053,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000055,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000056,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000057,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000058,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000059,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000060,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000061,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000062,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000063,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000064,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000066,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000067,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000068,GENERIC SINGLE,1 CT,10,80100
705,1230000069,GENERIC SINGLE,1 CT,10,80100
705,1230000071,GENERIC SINGLE,1 CT,1,80100
705,1230000072,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230000074,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000090,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000091,SUB GENERIC SINGLE,1 CT,10,80030
705,1230000092,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230000093,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230000094,CIGARETTES (SINGLE P,1 CT,1,86110
700,1230010113,KING CARTON,10 PK,1,86000
700,1230010213,KING CARTON,10 PK,1,86000
700,1230010313,KING CARTON,10 PK,1,86000
700,1230010413,KING CARTON,10 PK,1,86000
700,1230010513,100'S CIGARETTE CART,10 CT,1,86200
700,1230010713,KING CARTON,10 PK,1,86000
700,1230010813,KING CARTON,10 PK,1,86000
700,1230011013,KING CARTON,10 PK,1,86000
700,1230011036,WINSTON KING CARTON,10 CT,1,86600
705,1230011039,WINSTON KING PACK,1 CT,10,86500
700,1230011113,KING CARTON,10 PK,1,86000
700,1230011136,WINSTON KING CARTON,10 CT,1,86600
705,1230011139,WINSTON KING PACK,1 CT,10,86500
700,1230011213,KING CARTON,10 PK,1,86000
700,1230011236,WINSTON KING CARTON,10 CT,1,86600
705,1230011239,WINSTON KING PACK,1 CT,10,86500
700,1230011313,100'S CIGARETTE CART,10 CT,1,86200
700,1230011336,WINSTON 100'S CARTON,10 CT,1,86650
705,1230011339,WINSTON KING PACK,1 CT,10,86500
700,1230011413,100'S CIGARETTE CART,10 CT,1,86200
700,1230011436,WINSTON 100'S CARTON,10 CT,1,86650
705,1230011439,WINSTON KING PACK,1 CT,10,86500
700,1230011713,KING CARTON,10 PK,1,86000
700,1230011736,WINSTON KING CARTON,10 CT,1,86600
705,1230011739,WINSTON KING PACK,1 CT,10,86500
700,1230011813,100'S CIGARETTE CART,10 CT,1,86200
700,1230011836,WINSTON 100'S CARTON,10 CT,1,86650
705,1230011839,WINSTON KING PACK,1 CT,10,86500
700,1230011913,KING & REG CIGARETTE,10 CT,1,86020
700,1230011936,WINSTON KING CARTON,10 CT,1,86600
705,1230011939,WINSTON KING PACK,1 CT,10,86500
700,1230012013,KING CARTON,10 PK,1,86000
700,1230012213,100'S CIGARETTE CART,10 CT,1,86200
700,1230012413,KING CARTON,10 PK,1,86000
700,1230012513,100'S CIGARETTE CART,10 CT,1,86200
700,1230012613,100'S CIGARETTE CART,10 CT,1,86200
700,1230012719,100'S CARTON CIGARET,10 CT,1,86210
700,1230012813,KING CARTON,10 PK,1,86000
700,1230012913,100'S CIGARETTE CART,10 CT,1,86200
700,1230013013,KING CARTON,10 PK,1,86000
700,1230013113,100'S CIGARETTE CART,10 CT,1,86200
700,1230013213,KING CARTON,10 PK,1,86000
700,1230013313,KING CARTON,10 PK,1,86000
700,1230013413,100'S CIGARETTE CART,10 CT,1,86200
700,1230013513,100'S CIGARETTE CART,10 CT,1,86200
700,1230013613,KING CARTON,10 PK,1,86000
700,1230013713,KING CARTON,10 CT,1,86000
700,1230013913,KING CARTON,10 PK,1,86000
700,1230014113,KING & REG CIGARETTE,10 PK,1,86000
700,1230014213,GENERIC CARTON,10 PK,1,86010
700,1230014313,KING & REG CIGARETTE,10 PK,1,86000
700,1230014413,KING & REG CIGARETTE,10 PK,1,86000
700,1230014513,KING & REG CIGARETTE,10 PK,1,86000
700,1230014613,100'S CIGARETTE CART,10 CT,1,86200
700,1230014819,KING & REG CIGARETTE,10 PK,1,86000
700,1230014919,KING & REG CIGARETTE,10 CT,1,86020
700,1230015113,PRICE VALUE KING CAR,10 PK,1,86330
700,1230015213,PRICE VALUE KING CAR,10 PK,1,86230
700,1230015313,PRICE VALUE KING CAR,10 PK,1,86230
700,1230015513,100'S CIGARETTE CART,10 CT,1,86200
700,1230015613,100'S CIGARETTE CART,10 CT,1,86200
700,1230015713,PRICE VALUE KING CAR,10 PK,1,86030
700,1230015813,PRICE VALUE KING CAR,10 PK,1,86230
700,1230015913,100'S CIGARETTE CART,10 CT,1,86200
700,1230015936,WINSTON 100'S CARTON,10 CT,1,86650
705,1230015939,WINSTON KING PACK,1 CT,10,86500
700,1230016013,100'S CIGARETTE CART,10 CT,1,86200
700,1230016113,100'S CIGARETTE CART,10 CT,1,86200
700,1230016313,100'S CARTON CIGARET,10 PK,1,86210
700,1230016413,100'S CARTON CIGARET,10 PK,1,86210
700,1230016613,PRICE VALUE KING CAR,10 PK,1,86030
700,1230016713,PRICE VALUE KING CAR,10 PK,1,86230
700,1230016813,GENERIC CARTON,10 PK,1,86010
700,1230016913,GENERIC CARTON,10 PK,1,86010
700,1230017113,GENERIC CARTON,10 PK,1,86010
700,1230017213,100'S CARTON CIGARET,10 CT,1,86210
700,1230019013,100'S CIGARETTE CART,10 CT,1,86200
700,1230019113,GENERIC CARTON,10 PK,1,86010
700,1230019213,100'S CIGARETTE CART,10 CT,1,86200
700,1230019313,KING CARTON,10 CT,1,86000
700,1230019413,KING CARTON,10 CT,1,86000
705,1230020012,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230020014,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230020015,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230020050,GENERIC SINGLE,1 CT,10,80020
705,1230020051,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230020052,CIGARETTES SINGLE PA,1 CT,10,86130
705,1230020055,SUB GENERIC SINGLE,1 CT,10,80030
705,1230020165,CIGARETTES SINGLE PA,1 CT,10,86120
700,1230020166,KING CARTON,10 CT,1,86000
705,1230020276,CIGARETTES SINGLE PA,1 CT,10,86120
700,1230020277,KING CARTON,10 CT,1,86000
700,1230020487,WINSTON SELECT 20Õ O,1 CT,1,86100
700,1230020488,WINSTON SELECT $2 OF,10 CT,1,86090
700,1230020490,WINSTON SELECT 20Õ O,1 CT,1,86100
700,1230020491,WINSTON SELECT $2 OF,10 CT,1,86090
700,1230020493,WINSTON SELECT 20Õ O,1 CT,1,86100
700,1230020494,WINSTON SELECT $2 OF,10 CT,1,86090
700,1230020496,WINSTON SELECT 20Õ O,1 CT,1,86100
700,1230020497,WINSTON SELECT $2 OF,10 CT,1,86090
700,1230020550,WINSTON SELECT 20Õ O,1 CT,1,86100
700,1230020551,WINSTON SELECT $2 OF,10 CT,1,86090
700,1230020556,WINSTON SELECT 20Õ O,1 CT,1,86100
700,1230020557,WINSTON SELECT $2 OF,10 CT,1,86090
700,1230021213,100'S CARTON CIGARET,10 CT,1,86210
700,1230021413,KING & REG CIGARETTE,10 CT,1,86020
700,1230021513,KING & REG CIGARETTE,10 CT,1,86020
705,1230021675,CIGARETTES (SINGLE P,1 CT,1,86110
700,1230021676,KING CARTON,10 CT,1,86000
705,1230021678,CIGARETTES (SINGLE P,1 CT,1,86110
700,1230021679,KING CARTON,10 CT,1,86000
700,1230023013,GENERIC(WHITE)100 CA,10 CT,1,86220
705,1230023099,GENERIC (B/W) SINGLE,1 CT,10,80020
700,1230023113,GENERIC(WHITE)100 CA,10 CT,1,86220
705,1230023199,GENERIC (B/W) SINGLE,1 CT,10,80020
700,1230025013,GENERIC CARTON,10 PK,1,86010
700,1230025113,100'S CIGARETTE CART,10 CT,1,86200
700,1230025213,100'S CIGARETTE CART,10 CT,1,86200
700,1230025513,GENERIC CARTON,10 PK,1,86010
705,1230033799,CIGARETTES SINGLE PA,1 CT,10,86120
705,1230033899,GENERIC (B/W) SINGLE,1 CT,10,80020
700,1230034013,GENERIC(WHITE)100 CA,10 CT,1,86220
700,1230066513,KING CARTON,10 CT,1,86000
705,1230066599,CIGARETTES (SINGLE P,1 CT,1,86110
700,1230066613,KING & REG CIGARETTE,10 CT,1,86020
705,1230066699,CIGARETTES SINGLE PA,1 CT,10,86130
700,1230066713,100'S CARTON CIGARET,10 CT,1,86210
705,1230066799,CIGARETTES SINGLE PA,1 CT,10,86130
700,1230070336,WINSTON 100'S CARTON,10 PK,1,86650
705,1230070339,WINSTON KING PACK,1 CT,10,86500
705,1230070373,CIGARETTES B2G BONUS,1 CT,1,80010
700,1230070399,WINSTON 100'S CARTON,10 CT,10,86650
700,1230070413,WINSTON 100'S CARTON,10 CT,1,86650
700,1230070436,WINSTON 100'S CARTON,10 CT,1,86650
705,1230070504,DORAL 2PK,2PK,1,86150
705,1230070799,CIGARETTES (SINGLE P,1 CT,1,86110
705,1230070899,CIGARETTES (SINGLE P,1 CT,1,86110
700,1230070913,KING & REG CIGARETTE,10 CT,1,86020
700,1230070936,WINSTON KING CARTON,10 CT,1,86600
705,1230070939,WINSTON KING PACK,1 CT,10,86500
705,1230070999,CIGARETTES SINGLE PA,1 CT,10,86120
700,1230071013,KING CARTON,10 CT,1,86000
700,1230071036,WINSTON KING CARTON,10 CT,1,86600
705,1230071039,WINSTON KING PACK,1 CT,10,86500
705,1230071099,CIGARETTES SINGLE PA,1 CT,10,86120
700,1230071113,KING CARTON,10 CT,1,86000
705,1230071199,CIGARETTES SINGLE PA,1 CT,10,86120
700,1230071213,KING CARTON,10 CT,1,86000
705,1230071299,CIGARETTES SINGLE PA,1 CT,10,86120
700,1376000009,WINCHESTER 20'S,10 CT,10,88090
705,2040000000,SUB GENERIC SINGLE,1 CT,10,80030
705,2040000001,SUB GENERIC SINGLE,1 CT,10,80030
705,2040000002,SUB GENERIC SINGLE P,1 CT,10,80030
705,2040000003,SUB GENERIC SINGLE P,1 CT,10,80030
705,2040000006,SUB GENERIC SINGLE P,1 CT,10,80100
705,2040000007,SUB GENERIC SINGLE P,1 CT,10,80100
705,2040000009,CIGARETTES (SINGLE P,1 CT,1,86110
705,2040000022,SUB GENERIC SINGLE P,1 CT,10,80100
705,2040000023,SUB GENERIC SINGLE P,1 CT,10,80100
705,2040000034,SUB GENERIC SINGLE P,1 CT,10,80030
705,2040000035,SUB GENERIC 100'S CA,10 PK,10,80030
705,2040000044,CIGARETTES SINGLE PA,1 CT,10,86120
705,2040000045,CIGARETTES SINGLE PA,1 CT,10,86120
700,2040002038,KING CARTON,10 CT,1,86000
700,2040002048,KING CARTON,10 CT,1,86000
700,2040005038,SUB GENERIC KING CAR,10 CT,1,86300
700,2040005158,SUB GENERIC CARTON,10 PK,1,86230
700,2040005168,SUB GENERIC KING CAR,10 CT,1,86300
700,2040005258,SUB GENERIC CARTON,10 PK,1,86230
700,2040005268,SUB GENERIC KING CAR,10 CT,1,86300
700,2040005358,SUB GENERIC 100'S CA,10 CT,1,86320
700,2040006738,SUB GENERIC KING CAR,10 CT,1,86300
700,2040006748,SUB GENERIC 100'S CA,10 CT,1,86320
700,2040006778,SUB GENERIC KING CAR,10 CT,1,86300
700,2040006788,SUB GENERIC 100'S CA,10 CT,1,86320
705,2610000030,SUB GENERIC SINGLE,1 CT,10,80100
705,2610000034,SUB GENERIC SINGLE,1 CT,10,80100
700,2610000037,KING CARTON,10 CT,1,86000
705,2610000040,SUB GENERIC SINGLE,1 CT,10,80100
705,2610000044,SUB GENERIC SINGLE,1 CT,10,80100
700,2610000047,KING CARTON,10 PK,1,86000
705,2610000050,SUB GENERIC SINGLE P,1 CT,10,80100
705,2610000054,CIGARETTES (SINGLE P,1 CT,1,86110
700,2610000057,100'S CIGARETTE CART,10 CT,1,86200
705,2610000060,SUB GENERIC SINGLE P,1 CT,10,80100
705,2610000064,CIGARETTES (SINGLE P,1 CT,1,86110
705,2610000084,CIGARETTES (SINGLE P,1 CT,1,86110
700,2610000087,100'S CIGARETTE CART,10 PK,1,86200
705,2610000094,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000097,100'S CIGARETTE CART,10 CT,1,86200
705,2610000104,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000107,100'S CIGARETTE CART,10 CT,1,86200
705,2610000114,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000117,100'S CIGARETTE CART,10 CT,1,86200
705,2610000124,CIGARETTES (SINGLE P,PACK,1,86110
700,2610000127,KING & REG CIGARETTE,10 CT,1,86000
700,2610000137,KING CARTON,10 CT,1,86000
705,2610000144,CIGARETTES (SINGLE P,1 CT,1,86110
700,2610000147,100'S CIGARETTE CART,10 CT,1,86200
700,2610000157,100'S CIGARETTE CART,10 PK,1,86200
705,2610000164,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000167,KING CARTON,10 PK,1,86000
705,2610000174,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000177,100'S CIGARETTE CART,10 CT,1,86200
705,2610000180,GENERIC SINGLE PACK,1 CT,10,80100
705,2610000190,GENERIC SINGLE PACK,1 CT,10,80100
705,2610000204,GENERIC SINGLE,1 CT,8,86120
705,2610000214,GENERIC SINGLE,1 CT,8,86120
705,2610000224,CIGARETTES (SINGLE P,1 CT,1,86110
700,2610000237,100'S CIGARETTE CART,10 PK,1,86200
705,2610000244,CIGARETTES SINGLE PA,1 CT,10,86120
705,2610000254,CIGARETTES SINGLE PA,1 CT,10,86120
705,2610000264,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000267,KING CARTON,10 PK,1,86000
705,2610000274,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000277,KING CARTON,10 PK,1,86000
705,2610000284,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000287,100'S CIGARETTE CART,10 CT,1,86200
705,2610000294,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000297,100'S CIGARETTE CART,10 CT,1,86200
705,2610000304,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000307,KING CARTON,10 PK,1,86000
705,2610000334,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000337,KING CARTON,10 PK,1,86000
705,2610000344,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000347,KING CARTON,10 PK,1,86000
705,2610000354,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000357,100'S CIGARETTE CART,10 CT,1,86200
705,2610000364,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000367,KING CARTON,10 PK,1,86000
705,2610000374,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000377,100'S CIGARETTE CART,10 CT,1,86200
705,2610000384,CIGARETTES (SINGLE P,1 CT,1,86110
700,2610000387,100'S CIGARETTE CART,10 CT,1,86200
705,2610000394,CIGARETTES (SINGLE P,1 CT,1,86110
700,2610000397,100'S CIGARETTE CART,10 CT,1,86200
705,2610000424,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000427,100'S CIGARETTE CART,10 CT,1,86200
705,2610000434,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000437,KING CARTON,10 PK,1,86000
705,2610000454,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000457,KING CARTON,10 PK,1,86000
705,2610000464,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000467,100'S CIGARETTE CART,10 CT,1,86200
705,2610000504,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000507,100'S CIGARETTE CART,10 CT,1,86200
705,2610000514,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000517,KING CARTON,10 PK,1,86000
705,2610000524,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000527,KING CARTON,10 PK,1,86000
705,2610000534,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000537,100'S CIGARETTE CART,10 CT,1,86200
705,2610000544,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000547,100'S CIGARETTE CART,10 CT,1,86200
705,2610000550,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000570,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000634,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000637,100'S CIGARETTE CART,10 CT,1,86200
705,2610000644,CIGARETTES SINGLE PA,1 CT,10,86120
700,2610000647,100'S CIGARETTE CART,10 CT,1,86200
705,2610000740,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000750,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000760,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000770,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000780,SUB GENERIC SINGLE P,1 CT,10,80030
705,2610000850,SUB GENERIC SINGLE P,1 CT,10,80030
700,2610030550,SUB GENERIC 100'S CA,10 PK,1,86200
700,2610030570,SUB GENERIC,10 PK,1,86230
700,2610030740,SUB GENERIC 100'S CA,10 PK,1,86200
700,2610030750,SUB GENERIC 100'S CA,10 PK,1,86200
700,2610030760,SUB GENERIC 100'S CA,10 PK,1,86200
700,2610030770,SUB GENERIC 100'S CA,10 PK,1,86200
700,2610080030,KING & REG CIGARETTE,10 PK,1,86020
700,2610080040,KING & REG CIGARETTE,10 PK,1,86020
700,2610080050,SUB GENERIC 100'S CA,10 CT,1,86320
700,2610080060,SUB GENERIC 100'S CA,10 CT,1,86320
700,2610080180,NAME-GENERIC CIGS KI,10 CT,1,86300
700,2610080190,NAME-GENERIC CIGS 10,10 CT,1,86320
700,2610080204,KING & REG CIGARETTE,10 CT,1,86020
700,2610080214,100'S CIGARETTE CART,10 CT,1,86200
700,2610080224,100'S CIGARETTE CART,10 CT,1,86200
700,2610080244,100'S CARTON CIGARET,10 CT,1,86210
700,2610080254,100'S CARTON CIGARET,10 CT,1,86210
700,2610080614,100'S CIGARETTE CART,10 CT,1,86200
700,2610080780,SUB GENERIC KING CAR,10 CT,1,86300
700,2610080790,SUB GENERIC KING CAR,10 CT,1,86300
700,2610080850,SUB GENERIC KING CAR,10 CT,1,86300
705,2720000210,PRICE VALUE CIGARETT,1 CT,10,80030
705,2720000211,PRICE VALUE CIGARETT,1 CT,10,80030
705,2720000212,PRICE VALUE CIGARETT,1 CT,10,80030
705,2720000214,PRICE VALUE CIGARETT,1 CT,10,80030
705,2720000216,CIGARETTES SINGLE PA,1 CT,10,86130
705,2720000217,CIGARETTES SINGLE PA,1 CT,10,86130
705,2720000223,CIGARETTES (SINGLE P,PACK,1,86110
705,2720000226,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000227,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000228,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000229,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000232,KOOL CIGARETTES SING,1 CT,10,86070
705,2720000233,CIGARETTES (SINGLE P,PACK,1,86110
705,2720000238,CIGARETTES SINGLE PA,1 CT,10,86130
705,2720000239,CIGARETTES SINGLE PA,1 CT,10,86130
705,2720000243,GENERIC SINGLE,1 CT,10,80020
705,2720000244,GENERIC SINGLE,1 CT,10,80020
705,2720000245,GENERIC SINGLE,1 CT,10,80020
705,2720000246,GENERIC SINGLE,1 CT,10,80020
705,2720000250,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000251,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000252,KOOL CIGARETTES SING,1 CT,1,86070
705,2720000253,KOOL CIGARETTES SING,1 CT,1,86070
705,2720000254,KOOL CIGARETTES SING,1 CT,1,86070
705,2720000255,KOOL CIGARETTES SING,1 CT,1,86070
705,2720000256,KOOL CIGARETTES SING,1 CT,1,86070
705,2720000257,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000258,SUB GENERIC SINGLE,1 CT,10,80030
705,2720000259,GENERIC (B/W) SINGLE,1 CT,10,80020
